name,longitude,latitude,tiploc,station
Aachen,4.3620185,50.817428,AACHEN,False
Abercwmboi,-3.4090761,51.69209,ABCWM,False
Aberdare,-3.4475678999999997,51.719497,ABDARE,True
Aberdour,-3.3027091,56.045942000000004,ABDO,True
Aberdovey,-4.0560342,52.544261,ABDVY,True
Aber,-3.2298118,51.574883,ABER,True
Abergele & Pensarn,-3.5821400000000003,53.294928000000006,ABGLELE,True
Abbeyhill Jn,-3.1730374,55.954774,ABHLJN,False
Abbeyhill Turnback Sidings,-3.1730374,55.954774,ABHLTB,False
Abington C.E.,-3.6859176,55.493269999999995,ABINCE,False
Abington D.P.L.,-3.6844095,55.495394,ABINDPL,False
Abington Down Sidings,-3.6858690000000003,55.493244,ABINDS,False
Abington,-3.6856919,55.493175,ABINGTN,False
Abington U.P.L.,-3.6842181000000003,55.495360999999995,ABINUPL,False
Aberbeeg,-3.1450831000000004,51.711101,ABRBEG,False
Abercynon Signal A187,-3.3269292999999998,51.645175,ABRC187,False
Abercynon Junction,-3.3269292999999998,51.645175,ABRCJN,False
Abercynon,-3.3293174,51.643314000000004,ABRCYNS,True
Aberdeen Sig A27,-2.0973092999999996,57.142087,ABRD27,False
Aberdeen Signal A75,-2.0972678,57.138853000000005,ABRD75,False
Aberdeen Signal A77,-2.0972182,57.138853000000005,ABRD77,False
Aberdeen Clayhills Car.M.D,-2.0983147,57.141125,ABRDCH,False
Aberdeen,-2.0973092999999996,57.142087,ABRDEEN,True
Aberdeen Ferryhill Dn Sdgs,-2.0986062999999997,57.132734,ABRDFDS,False
Aberdeen Ferryhill GL,-2.0977883,57.142006,ABRDFGL,False
Aberdeen Ferryhill Jn,-2.0976053,57.135286,ABRDFJN,False
Aberdeen Ferryhill Up Sdgs,-2.0970838,57.138018,ABRDFUS,False
Aberdeen Guild Street GBRF,-2.0959234,57.14289599999999,ABRDGBR,False
Aberdeen H.S.,-2.0967165,57.14286,ABRDNHS,False
Aberdeen North Siding,-2.1032056,57.146995999999994,ABRDNS,False
Aberdeen Parcels Dock,-2.0969973000000004,57.142832999999996,ABRDPDK,False
Aberdeen Russell J.G.,-2.0942889,57.143446,ABRDRSL,False
