,,,,,,,,
~@# File opened, Actual 03/06/2018 00:00:05 BST,  Log 03/06/2018 00:00:05 BST,,,,,,
~@#Come from file 20180602,,,,,,,,
739P73M902,EALINGB,20180603000000,A,-1,U,4,20180603000100,6
631T731902,BCSTRTN,20180602235900,D,0,U,  ,20180602235900,7
731Y96M902,LDBRKJ,20180603000000,D,1,U,R ,20180602235930,10
735Y95M003,PADTON,20180603000000,D,-1,D,7,20180603000100,40
735Y95M003,ROYAOJN,20180603000100,D,-1,D,  ,20180603000200,121
731Y97M902,HTRWAJN,20180603000100,D,-3,U,  ,20180603000400,121
731Y96M902,PRTOBJP,20180603000100,D,0,U,  ,20180603000100,124
746Y401802,CHIPNHM,20180603000500,A,-10, ,  ,20180603001500,136
739P73M902,EALINGB,20180603000100,D,-1,U,4,20180603000200,206
826C221702,WSTLGHJ,20180603000200,D,18,D,  ,20180602234400,217
735N922902,ACTONW,20180603000200,D,-6,D,  ,20180603000830,225
735Y95M003,PRTOBJP,20180603000200,D,-1,D,  ,20180603000300,231
739P73M902,ACTONW,20180603000200,D,-1,U,  ,20180603000300,237
731Y96M902,ROYAOJN,20180603000300,D,-1,U,  ,20180603000400,243
826C971902,NSMRSTJ,20180603000300,D,2,D,  ,20180603000130,243
735N922902,EALINGB,20180603000300,A,0, ,  ,0,253
731Y97M902,STHALL,20180603000300,A,-4, ,  ,20180603000730,303
739P73M902,ACTONML,20180603000300,A,-1,U,  ,20180603000430,303
735N922902,EALINGB,20180603000200,D,0, ,  ,0,314
731Y96M902,PADTON,20180603000400,T,-1,U,7,20180603000500,319
739P73M902,ACTONML,20180603000300,D,-2,U,  ,20180603000500,327
731Y97M902,STHALL,20180603000200,D,-5,U,4,20180603000730,355
631T731902,ISLIP,20180603000500,A,1,U,  ,20180603000430,414
735Y42M003,PADTON,20180603000300,D,0,D,11,20180603000300,422
731Y97M902,WEALING,20180603000500,A,-5, ,  ,20180603001030,453
735Y95M003,LDBRKJ,20180603000400,D,0,D,  ,20180603000400,456
875Z891802,STHAWCR,20180603000400,T,-1, ,  ,20180603000500,508
731Y97M902,WEALING,20180603000400,D,-6,U,4,20180603001030,522
739P73M902,LDBRKJ,20180603000500,D,-4,U,R ,20180603000900,523
826C971902,DRDAYSJ,20180603000500,D,2,U,  ,20180603000330,527
735Y42M003,ROYAOJN,20180603000500,D,1,D,  ,20180603000400,540
731Y97M902,EALINGB,20180603000600,A,0, ,  ,0,546
731Y97M902,EALINGB,20180603000500,D,0, ,  ,0,559
735Y42M003,PRTOBJP,20180603000600,D,1,D,  ,20180603000500,609
735N922902,STHALL,20180603000700,A,-4, ,  ,20180603001100,613
739P73M902,PRTOBJP,20180603000600,D,-3,U,  ,20180603000930,620
731Y97M902,ACTONW,20180603000600,D,-7,U,  ,20180603001300,620
735Y95M003,OLDOEMU,20180603001100,T,-10,D,  ,20180603002100,620
739P73M902,ROYAOJN,20180603000700,D,-3,U,  ,20180603001000,647
735Y42M003,LDBRKJ,20180603000700,D,1,D,  ,20180603000600,647
735N922902,STHALL,20180603000600,D,-5,D,3,20180603001100,654
631T731902,ISLIP,20180603000600,D,1,U,  ,20180603000500,701
732Y75M003,HTRWTM4,20180603000700,D,0,U,2,20180603000700,722
739P73M902,PADTON,20180603000900,T,-2,U,11,20180603001100,738
826C971902,STPLTNR,20180603000900,A,0, ,  ,0,749
735N922902,HAYESAH,20180603000800,A,0, ,  ,0,753
735N922902,HAYESAH,20180603000700,D,0, ,  ,0,813
735N922902,HTRWAJN,20180603000800,D,-5,D,  ,20180603001300,813
826C221702,BRSTPWY,20180603000900,A,20,D,2,20180602234930,822
826C971902,STPLTNR,20180603000800,D,0, ,  ,0,856
631T731902,OXFPWAY,20180603000900,A,1,U,  ,20180603000830,859
826C221702,BRSTPWY,20180603000900,D,-30,D,  ,20180603003930,942
732Y75M003,HTRWAPT,20180603001100,A,0,U,2,20180603001100,942
631T731902,OXFPWAY,20180603001000,D,1,U,1,20180603000900,1054
826C221702,FILTNEW,20180603001100,A,-30, ,  ,20180603004130,1059
731Y97M902,LDBRKJ,20180603001200,D,-4,U,R ,20180603001600,1148
631T731902,OXFDWRJ,20180603001200,D,1,U,  ,20180603001100,1156
826C221702,FILTNEW,20180603001100,D,-30,D,1,20180603004130,1215
735Y96M003,PADTON,20180603001200,D,-3,D,7,20180603001500,1229
732Y75M003,HTRWAPT,20180603001200,D,-1,U,2,20180603001300,1301
735Y96M003,ROYAOJN,20180603001300,D,-3,D,  ,20180603001600,1301
826C971902,FILTNEW,20180603001300,A,2, ,  ,20180603001100,1310
731Y97M902,ROYAOJN,20180603001300,D,-5,U,  ,20180603001800,1325
746Q532902,RDNGSTN,20180603001300,D,41,U,8,20180602233200,1325
631T731902,OXFDNNJ,20180603001300,D,0,U,  ,20180603001300,1326
735Y96M003,PRTOBJP,20180603001400,D,-3,D,  ,20180603001700,1355
746Q532902,RDNGKBJ,20180603001400,D,40,U,  ,20180602233400,1403
731Y97M902,PADTON,20180603001500,T,-4,U,7,20180603001900,1410
746Y401802,CHIPNHM,20180603001300,D,-2,D,  ,20180603001500,1422
826C971902,FILTNEW,20180603001300,D,2,U,2,20180603001100,1427
735Y96M003,LDBRKJ,20180603001400,D,-5,D,  ,20180603001930,1503
732Y75M003,HTRWTJN,20180603001500,D,-4,U,  ,20180603001900,1530
631T731902,OXFD,20180603001700,T,1,U,1,20180603001600,1547
735Y96M003,OLDOEMU,20180603002100,T,-20,D,  ,20180603004100,1611
735N922902,SLOUGH,20180603001700,A,-4, ,  ,20180603002100,1628
826C971902,BRSTPWY,20180603001700,A,4,U,  ,20180603001330,1647
746Y401802,THNGLEJ,20180603001700,D,1,D,  ,20180603001600,1727
735N922902,SLOUGH,20180603001700,D,-4,D,4,20180603002100,1727
746Y401802,THNGLYJ,20180603001900,D,2,D,  ,20180603001700,1853
732Y75M003,HTRWAJN,20180603001900,D,-1,U,  ,20180603002000,1928
732Y75M003,HAYESAH,20180603002000,A,-1,U,4,20180603002100,1928
